path,criticality,surviving_lines_authored,total_lines_in_file,share_percent,wholly_authored
apps/api/src/modules/integrations/integrations.service.ts,STANDARD,14,142,9.9,NO
apps/api/src/modules/settlement-engine/settlement-engine.service.ts,CROWN_JEWEL,14,245,5.7,NO
apps/web/app/platform-v7/audit-log/page.tsx,STANDARD,14,267,5.2,NO
apps/web/app/platform-v7/operator/page.tsx,STANDARD,14,421,3.3,NO
apps/api/jest.config.js,STANDARD,13,13,100.0,YES
apps/web/app/platform-v7/elevator/page.tsx,STANDARD,13,233,5.6,NO
apps/web/components/v7r/PlatformRolesHub.tsx,STANDARD,13,331,3.9,NO
apps/api/src/modules/documents/documents.controller.ts,CROWN_JEWEL,12,153,7.8,NO
apps/api/src/modules/documents/documents.service.ts,CROWN_JEWEL,12,202,5.9,NO
apps/web/app/platform-v7/buyer/page.tsx,STANDARD,12,221,5.4,NO
apps/web/components/v7r/CatchAllPage.tsx,STANDARD,12,591,2.0,NO
apps/api/src/common/action-executor/action-executor.module.ts,STANDARD,11,11,100.0,YES
apps/api/src/modules/disputes/disputes.service.ts,CROWN_JEWEL,11,59,18.6,NO
apps/web/app/platform-v7/seller/page.tsx,STANDARD,11,210,5.2,NO
apps/api/src/modules/deals/deals.service.spec.ts,CROWN_JEWEL,10,60,16.7,NO
apps/api/src/modules/evidence-pack/evidence-pack.module.ts,CROWN_JEWEL,10,10,100.0,YES
apps/web/app/platform-v7/logistics/page.tsx,STANDARD,10,144,6.9,NO
apps/web/components/platform-v7/P7PersistenceQueueStatus.tsx,STANDARD,9,77,11.7,NO
apps/api/src/app.module.ts,STANDARD,8,150,5.3,NO
apps/api/src/modules/admin/admin.module.ts,CROWN_JEWEL,8,10,80.0,NO
apps/api/src/common/database/database.module.ts,STANDARD,7,7,100.0,YES
apps/api/src/common/prisma/prisma.module.ts,STANDARD,7,10,70.0,NO
apps/api/src/modules/deals/deals.controller.ts,CROWN_JEWEL,7,126,5.6,NO
apps/web/app/platform-v7/not-found.tsx,STANDARD,7,63,11.1,NO
apps/web/app/platform-v7/disputes/page.tsx,STANDARD,5,397,1.3,NO
apps/web/components/v7r/DisputesRuntime.tsx,STANDARD,5,232,2.2,NO
apps/web/app/platform-v7/help/page.tsx,STANDARD,4,119,3.4,NO
apps/web/components/platform-v7/P7EvidenceReadinessAuditStrip.tsx,STANDARD,4,57,7.0,NO
.gitignore,STANDARD,3,38,7.9,NO
apps/api/src/modules/logistics/logistics.service.ts,STANDARD,3,78,3.8,NO
apps/web/app/platform-v7/deals/[id]/review/page.tsx,STANDARD,3,142,2.1,NO
apps/web/components/platform-v7/SupportOperatorQueueClient.tsx,STANDARD,3,104,2.9,NO
apps/web/components/v7r/DealEvidencePackPreview.tsx,STANDARD,3,42,7.1,NO
apps/web/components/v7r/SellerLotsRuntimeV2.tsx,STANDARD,3,381,0.8,NO
apps/api/prisma/migrations/migration_lock.toml,STANDARD,2,3,66.7,NO
apps/api/src/modules/audit/audit.module.ts,CROWN_JEWEL,2,10,20.0,NO
apps/api/src/modules/deals/deals.service.ts,CROWN_JEWEL,2,39,5.1,NO
apps/api/src/modules/disputes/dto/create-dispute.dto.ts,CROWN_JEWEL,2,49,4.1,NO
apps/api/src/modules/labs/labs.service.ts,STANDARD,2,50,4.0,NO
apps/web/app/platform-v7/deals/[id]/clean/page.tsx,STANDARD,2,308,0.6,NO
apps/web/components/platform-v7/P7MoneySafetyAuditStrip.tsx,STANDARD,2,104,1.9,NO
apps/web/components/platform-v7/SystemRouteSummary.tsx,STANDARD,2,231,0.9,NO
apps/api/package.json,STANDARD,1,77,1.3,NO
apps/api/src/modules/auth/auth.service.ts,CROWN_JEWEL,1,1207,0.1,NO
apps/api/src/modules/documents/documents.module.ts,CROWN_JEWEL,1,22,4.5,NO
apps/web/app/platform-v7/connectors/page.tsx,STANDARD,1,314,0.3,NO
apps/web/app/platform-v7/deals/compare/page.tsx,STANDARD,1,79,1.3,NO
apps/web/components/platform-v7/ActionFeedbackPreviewStrip.tsx,STANDARD,1,122,0.8,NO
apps/web/components/platform-v7/AuditSurfaceSummary.tsx,STANDARD,1,149,0.7,NO
apps/web/components/platform-v7/BankSmartContractsPanel.tsx,STANDARD,1,141,0.7,NO
apps/web/components/platform-v7/P7ActionFeedbackStrip.tsx,STANDARD,1,68,1.5,NO
apps/web/components/platform-v7/RoleExecutionSummary.tsx,STANDARD,1,513,0.2,NO
apps/web/components/platform-v7/SupportCaseView.tsx,STANDARD,1,52,1.9,NO
apps/web/components/platform-v7/SupportNewCaseClient.tsx,STANDARD,1,109,0.9,NO
apps/web/components/v7r/AppShell.tsx,STANDARD,1,489,0.2,NO
apps/web/components/v7r/CommandPalette.tsx,STANDARD,1,292,0.3,NO
apps/web/components/v7r/DomainControlTowerSummary.tsx,STANDARD,1,60,1.7,NO
apps/web/components/v7r/DomainDisputesSummary.tsx,STANDARD,1,32,3.1,NO
apps/web/components/v7r/LiveDealInvestorRuntime.tsx,STANDARD,1,123,0.8,NO
apps/web/components/v7r/RiskBadge.tsx,STANDARD,1,199,0.5,NO
apps/web/components/v7r/SellerLotsRuntime.tsx,STANDARD,1,148,0.7,NO
