path,criticality,total_lines,ai_lines,automation_lines
apps/web/app/platform-v7/accounting/AccountingTaskBoardClient.tsx,STANDARD,266,266,0
apps/api/src/modules/auth/accounting-document-numbering.policy.ts,CROWN_JEWEL,263,263,0
apps/web/tests/unit/platformV7TranslationRuntime.test.ts,STANDARD,261,261,0
apps/api/tests/load/k6-load-test.js,STANDARD,259,259,0
apps/api/src/modules/auth/contract-version.policy.ts,CROWN_JEWEL,258,258,0
apps/api/src/modules/accounting/accounting-period.policy.ts,CROWN_JEWEL,255,255,0
apps/api/src/modules/auth/accounting-document-payload.builder.ts,CROWN_JEWEL,255,255,0
apps/api/src/modules/accounting/payment.policy.ts,CROWN_JEWEL,251,251,0
apps/api/src/modules/auth/regulatory-rule-registry.policy.spec.ts,CROWN_JEWEL,251,251,0
apps/api/prisma/migrations/20260816040000_pc_crop_contract_versions/migration.sql,STANDARD,250,250,0
docs/platform-v7/autopilot/scopes/pc-crop-federal-accounting.json,STANDARD,250,250,0
apps/api/prisma/migrations/20260627000000_v3_grainflow_production/migration.sql,STANDARD,249,249,0
apps/api/src/modules/accounting/connection-attestation.postgresql.spec.ts,CROWN_JEWEL,249,249,0
apps/api/src/modules/auth/accounting-document-numbering.policy.spec.ts,CROWN_JEWEL,248,248,0
apps/web/tests/unit/taiPublicAssessmentContract.test.ts,STANDARD,248,248,0
apps/api/src/shared/runtime-auction-origin.ts,STANDARD,245,245,0
apps/api/src/modules/accounting/work-task-projection.policy.ts,CROWN_JEWEL,244,244,0
apps/api/src/modules/auth/accounting-document-issuing.postgresql.spec.ts,CROWN_JEWEL,244,244,0
apps/api/src/modules/auth/authCredentialBoundary.spec.ts,CROWN_JEWEL,240,240,0
apps/web/components/v9/bank/ReleaseDialog.tsx,STANDARD,237,237,0
apps/web/components/v9/deal/DealReadinessMatrix.tsx,STANDARD,237,237,0
scripts/check-pc-release-authority-boundary.mjs,STANDARD,236,236,0
.github/container-images/ci-postgres-inventory.v1.json,STANDARD,235,235,0
